class,SwissArmyKnife,FunctionalDecomposition,SpeculativeGenerality,RefusedParentBequest,MessageChains,ComplexClass,LongParameterList,Blob,SpaghettiCode,LargeClass,BaseClassKnowsDerivedClass,LazyClass,AntiSingleton,LongMethod,ManyFieldAttributesButNotComplex,TraditionBreaker,BaseClassShouldBeAbstract,ClassDataShouldBePrivate
org.apache.catalina.authenticator.TestDigestAuthenticator,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.coyote.ajp.TestAbstractAjpProcessor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.connector.ResponseFacade,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.session.StandardSession,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.StandardContext,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.websocket.AuthenticatorFactory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.manager.util.SessionUtils,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.ha.deploy.FarmWarDeployer,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.realm.TestRealmBase,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
jakarta.el.TestArrayELResolver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jakarta.el.TestBeanELResolver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.net.openssl.ciphers.OpenSSLCipherConfigurationParser,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.websocket.WsWebSocketContainer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.core.ApplicationFilterFactory,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.authenticator.DigestAuthenticator,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.startup.ContextConfig,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.PoolableConnectionFactory,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.Compiler,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.websocket.WsFrameClient,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.bcel.classfile.SimpleElementValue,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.connector.CoyoteAdapter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.buf.ByteChunk,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.websocket.server.WsHttpUpgradeHandler,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.mapper.Mapper,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.DelegatingPreparedStatement,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.startup.ContextConfig,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
org.apache.tomcat.util.digester.Digester,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
org.apache.catalina.startup.ExpandWar,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.tribes.io.XByteBuffer,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.el.parser.AstIdentifier,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.tribes.group.interceptors.OrderInterceptor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.EmbeddedServletOptions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.tomcat.util.net.openssl.panama.OpenSSLEngine,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
jsp2.examples.simpletag.ShuffleSimpleTag,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.servlet.TldScanner,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.net.TesterSupport,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.jdbc.pool.interceptor.ConnectionState,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.juli.JdkLoggerFormatter,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.descriptor.web.WebXml,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.json.ParseException,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
org.apache.catalina.valves.rewrite.ResolverImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.webresources.CachedResource,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.StandardServer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.jni.SSL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.ha.tcp.SimpleTcpCluster,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.mbeans.MBeanFactory,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
jakarta.el.TestBeanNameELResolver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.tipis.ReplicatedMap,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.el.parser.AstFunction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.valves.AbstractAccessLogValve,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.DelegatingResultSet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.el.util.ReflectionUtil,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
jakarta.el.TestArrayELResolver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.authenticator.AuthenticatorBase,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.http2.TestHttp2Limits,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.AsyncContextImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.authenticator.FormAuthenticator,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
jakarta.el.TestBeanELResolver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.descriptor.web.ContextService,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.net.SSLUtilBase,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.dbcp.pool2.impl.GenericKeyedObjectPool,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.descriptor.tld.TldRuleSet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.http2.HpackDecoder,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.jdbc.pool.interceptor.StatementCache,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.jasper.JspC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.buf.Utf8Encoder,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.jdbc.pool.PoolProperties,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.websocket.Util,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.session.PersistentManagerBase,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.PStmtKey,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.startup.Catalina,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.DelegatingStatement,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.AttributeParser,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.manager.StatusTransformer,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.webresources.AbstractArchiveResourceSet,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.websocket.Constants,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.CompressionConfig,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.DelegatingConnection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.connector.Request,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.jasper.compiler.JspReader,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.buf.ByteChunk,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.coyote.http2.StreamProcessor,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.JspConfig,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.connector.RequestFacade,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.group.ChannelCoordinator,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.tribes.membership.StaticMembershipProvider,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.json.JSONParser,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.tomcat.util.threads.ThreadPoolExecutor,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.coyote.http11.AbstractHttp11Protocol,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.juli.FileHandler,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.bcel.classfile.ElementValue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.jasper.compiler.PageDataImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.group.interceptors.GzipInterceptor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.net.SocketProperties,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.AbstractProtocol,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.http2.Stream,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.filters.TesterHttpServletResponse,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.ha.session.DeltaManager,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.Jdbc41Bridge,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.websocket.WsFrameBase,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.StandardHost,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.startup.Catalina,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.demos.MapDemo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.transport.ReceiverBase,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.http.Parameters,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.net.IPv6Utils,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.group.GroupChannel,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.websocket.WsSession,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.jdbc.naming.GenericNamingResourcesFactory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
websocket.snake.Location,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
jakarta.el.BeanELResolver,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.jasper.runtime.JspRuntimeLibrary,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.jdbc.pool.interceptor.SlowQueryReport,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.http2.Http2TestBase,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
org.apache.tomcat.util.net.jsse.PEMFile,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.modeler.BaseModelMBean,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.buf.UDecoder,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.util.LifecycleBase,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.TestGenerator,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.users.MemoryUserDatabase,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.session.DataSourceStore,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.coyote.http2.ConnectionSettingsBase,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.codec.binary.Base64,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.cpdsadapter.DriverAdapterCPDS,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.JspRuntimeContext,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.valves.ErrorReportValve,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.filters.RemoteIpFilter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.demos.IntrospectionUtils,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
org.apache.jasper.EmbeddedServletOptions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.catalina.session.ManagerBase,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.json.TokenMgrError,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.connector.Response,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.filters.RestCsrfPreventionFilter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.jdbc.pool.DataSourceFactory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.ajp.AjpProcessor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.filters.TestCorsFilter,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.http11.TestHttp11Processor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.valves.RemoteIpValve,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.JspUtil,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.NamingContextListener,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.core.ApplicationHttpRequest,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
jakarta.servlet.jsp.el.ImplicitObjectELResolver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.net.openssl.OpenSSLEngine,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.webresources.Cache,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.manager.HTMLManagerServlet,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.core.ApplicationSessionCookieConfig,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.security.SecurityUtil,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.tribes.demos.LoadTest,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
org.apache.coyote.Request,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.tribes.transport.nio.NioReplicationTask,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.coyote.http2.StreamProcessor,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.core.ApplicationContext,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.json.JSONParserTokenManager,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
org.apache.tomcat.unittest.TesterContext,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.Request,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
jakarta.servlet.ServletRequestWrapper,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.connector.OutputBuffer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.core.StandardEngine,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.http.parser.EntityTag,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.coyote.http2.Http2UpgradeHandler,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.net.AbstractEndpoint,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.tomcat.util.http.Parameters,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.tipis.AbstractReplicatedMap,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.realm.JAASMemoryLoginModule,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.ha.session.DeltaSession,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.Node,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.http.parser.TestAcceptLanguage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jakarta.el.ELProcessor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.juli.AsyncFileHandler,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.connector.OutputBuffer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.tribes.transport.nio.ParallelNioSender,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.el.parser.ParseException,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
org.apache.tomcat.dbcp.dbcp2.datasources.InstanceKeyDataSource,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.core.TestAsyncContextImpl,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.compiler.PageInfo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.pool2.impl.BaseObjectPoolConfig,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.ha.tcp.SimpleTcpCluster,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.http.parser.TestHttpParserHost,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.catalina.connector.Response,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.catalina.filters.CsrfPreventionFilter,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
org.apache.jasper.JspCompilationContext,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
jakarta.el.TestStaticFieldELResolver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.util.json.JavaCharStream,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
org.apache.coyote.ajp.AjpMessage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.coyote.http11.Http11InputBuffer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.tomcat.dbcp.pool2.impl.GenericKeyedObjectPool,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.catalina.manager.DummyProxySession,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
